Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
Yucatán,3.5,19.2,40.4,63.9,74.9,60.3,77.4,22.4,98.0,50.2,100.0,2.4,100.0,94.8,13.2,10.4,0.0,5.20,1.17,58.55,55.45,87.15,45.24,17.92,47.57,29.07,62.47,46.32,31.37,100.00,54.79,58.02,27.30,13.27,62.05,5.69,84.31,99.28,45.41,97.10,86.45,0.00,96.52,49.72,23.95,41.21,0.00,32.50,#DIV/0!,4.80,4.07,2.01,29.85,50.82,4.15,29.05,26.96,25.82,5.17,99.71,100.00,11.05,19.82,21.21,13.77,45.75,34.63,8.19,14.18,64.06,92.25,99.59,60.05,71.87,76.11,0.00,91.62,0.00,"1,285.85",99.83,3.94,6.09,8.44,10.37,11.75,3.96,6.47,2.39,1.10,19.99
Zacatecas,0.5,25.5,89.2,66.7,63.9,78.2,52.0,18.0,93.9,44.4,73.6,1.0,61.8,95.9,0.0,12.9,0.3,70.38,1.30,0.00,27.30,74.31,54.69,48.97,43.90,14.75,73.91,26.00,41.31,0.00,75.00,0.00,41.12,6.40,78.37,81.73,87.34,99.88,100.00,100.00,86.07,0.00,67.83,71.95,19.76,41.16,10.05,25.00,#DIV/0!,2.17,5.58,3.87,40.04,35.75,6.76,12.38,18.79,27.60,5.02,98.49,6.27,6.17,11.71,3.07,19.66,36.98,27.81,2.87,3.73,59.62,95.40,99.86,57.51,75.00,89.20,0.00,32.86,44.74,"1,098.61",99.87,0.23,5.33,6.17,2.58,20.46,2.52,6.06,2.98,1.08,9.15
Aguascalientes,2.556868393,44.0331871089,56.194282201,82.1917808219,100,100,83.4677419355,51.3725490196,8.164556962,75.9011123209,97.6045110305,33.576142113,61.7637167241,96.7391304348,5.9136882987,48.9981711456,0.1845649234,68.8684407059,25.4200409569,93.3812126963,32.0725597547,97.2789115646,77.3228514513,78.5045133966,67.8496927289,42.4329908905,53.5447183118,50.1478356412,44.816259495,100,91.8032786885,43.3460076046,43.0379746835,26.5771980801,81.4039125432,17.5510931465,95.788217157,97.3387390874,63.1615151212,90.6139109391,74.4228530823,0,91.7431192661,27.9050749723,36.6413683335,54.5360290306,28.3980531256,60,#DIV/0!,8.5763998923,10.8464388975,29.0821090575,16.0020292791,57.6966450077,23.2625482625,26.4825724053,55.3988226764,29.6917025985,16.1464267127,99.8041715879,0.00056426,10.0779172808,9.0909090909,10.921630819,87.03029795,34.3936603959,24.1458078629,9.1152133178,50.0177777778,71.1893899484,96.6097325,99.850066912,54.2088042832,90.6286914293,85.5320239868,0,180.2519402868,58.1441351896,361.628098061,99.8526827445,0.2622916561,6.6346613314,61.8587378433,4.2448987242,13.182611021,9.7728168425,8.0354207367,8.5280311085,10.574605152,8.5277919681
Baja California,9.1422856375,41.315769067,0,28.7671232877,81.4207650273,67.6348547718,35.0806451613,80.3921568627,61.2658227848,19.9075882103,25.767617737,9.1034329631,32.6865213178,89.1304347826,49.7743683986,76.873797266,0.2406621888,54.5241635032,44.8140649725,82.4320303817,67.8116034581,88.7755102041,100,96.457211294,100,8.3702452985,86.7952743944,28.9010648239,32.436871279,54.5454545455,99.4535519126,39.9239543726,29.1139240506,25.2567263139,71.2888377445,17.9654160116,91.706077341,94.6289497904,36.0961183644,76.3682879876,32.1165907528,0,0,40.4651882046,24.4940087524,95.9046137895,56.5074163519,65,#DIV/0!,11.4741877754,8.1799822607,17.3703532334,22.7669425871,87.3633161662,42.0849420849,56.586036889,59.3365384742,42.2384496921,28.1250375408,28.2482598608,0.001513709,15.2460528699,33.0578512397,11.0603418547,29.6079744631,3.3467931384,36.6539642253,12.7444075433,19.6621753837,11.5283139247,86.4248625,99.4249539678,50.8923259964,78.1204882531,76.8902365226,0,100,0,754.0702451524,99.9907789099,11.6762546731,13.0601944966,100,37.937955009,12.0514699882,7.8858791137,9.3341974527,9.0339890543,16.3544895352,21.3748876349
Baja California Sur,0.3351772371,48.8807740172,51.3679680295,83.5616438356,36.0655737705,51.0373443983,22.5806451613,55.6862745098,100,4.5661175744,73.4053690842,0.4810321402,32.6865213178,100,26.8006198399,48.2385265647,0.215158699,58.9083101261,8.2960997859,29.5024950847,77.9657915371,92.5170068027,85.8992601024,79.5958627347,92.5801706688,59.1475269926,83.299272471,50.4933019327,31.430917676,75,94.5355191257,87.4524714829,34.8101265823,22.3659941346,86.6052934407,15.398106911,62.0629114097,89.1099159758,69.0218441369,65.0599068817,43.0218694283,0,92.6605504587,20.0783607372,100,97.9263867289,91.4908805978,70,#DIV/0!,11.0446259162,10.0348771678,25.3400272476,0,74.3357099878,36.8725868726,70.0712356169,51.9868832546,37.8254916121,4.2456280957,99.6519721578,28.988596193,100,38.8429752066,66.4128729114,31.5704983915,97.0852744127,59.8739237256,14.5930229889,19.0247893648,0,90.54664,99.2870010055,28.8072575848,0,79.1979605296,0,58.8378402749,0,100,99.9612095572,22.2180457422,35.974510064,3.3974929612,57.1131851205,41.8736299384,3.997063908,11.6469318962,0,0.9480638674,59.0867366925
Campeche,2.2979369637,23.0460301169,62.8240598422,63.0136986301,78.6885245902,75.9336099585,100,13.7254901961,30.6329113924,100,70.7336047336,1.3939361332,100,55.4347826087,17.8525251003,35.6496054796,0,0,0,29.9983797738,46.4536232744,54.7619047619,47.6913773478,18.4929849552,71.5972723141,42.6082747707,62.57534939,44.0107139443,35.6805584069,66.6666666667,58.4699453552,24.3346007605,41.1392405063,11.314533827,72.1058688147,15.2089836226,92.7749605583,99.9669044695,80.5267309006,100,44.3648030723,0,92.6605504587,47.0841972987,68.5529185086,38.3618455158,1.8783211554,42.5,#DIV/0!,0,2.9986016467,100,7.4925985385,82.5366174558,5.7915057915,16.5093641127,19.2384578824,0,1.4019276792,99.1299303944,19.8770785318,39.6989179741,8.2644628099,1.6384743302,92.2403072517,46.4241342236,24.717993808,0,9.7476051068,50.154441931,94.67545125,99.8751162657,44.1998810232,74.9967187295,71.3077483891,7.6734428245,78.4319305997,0,908.6686667339,99.8349843575,0.3693023281,0,1.7876134796,11.8614047069,13.9786551207,18.8676779468,0.0027800306,0,2.9130134498,4.7595051532
Chiapas,4.738850964,0,100,39.7260273973,62.2950819672,29.8755186722,49.5967741935,49.0196078431,42.8481012658,37.8278185024,47.4462709337,1.8457905231,100,65.2173913043,37.3244362051,11.9329940528,1.6577889309,2.2570215209,0.785395141,12.426398898,19.7048498042,24.4897959184,3.8524473534,16.4353905826,35.5797644024,6.2623178073,62.1254943168,0,100,40.9090909091,0,57.7946768061,51.582278481,4.5025658734,58.6075949367,0,83.5451698654,97.8172086357,58.5834936805,92.7434112772,13.6624016318,0,33.6391437309,36.1934669967,52.9365670527,73.6132711249,9.8636097817,0,#DIV/0!,0.9490349899,4.6883408246,1.3845623054,8.8161680868,7.2687660862,0,1.469706692,0,18.4149878029,1.0409578512,99.535962877,74.759548234,5.5196774701,13.2231404959,7.0363065254,18.8569364535,1.2433677504,0.2039791273,2.0895506451,22.9109268332,78.6853347358,91.5172975,99.7251831778,63.6525877454,71.8729492059,91.7563495877,7.6734428245,144.254284368,22.9343985658,647.0405686729,99.6685917933,0.5501331964,2.6894832775,0.6254282609,3.301621177,9.8084937764,3.3119696663,4.3053321481,0,1.1780488622,2.6963460437
Chihuahua,12.3683250927,49.1893495807,56.7271236807,52.0547945205,36.6120218579,54.356846473,6.4516129032,5.8823529412,4.1139240506,16.2536523627,0,0,32.6865213178,96.7391304348,5.7793253963,100,0.1070266753,39.5470736962,43.3794098483,76.6034223782,59.552735498,91.4965986395,83.4163346614,100,82.3548618093,27.0624179669,73.8004058649,33.7671449225,0,83.3333333333,91.2568306011,23.5741444867,22.7848101266,17.2692525186,77.9516685846,44.5037487666,82.3289196735,0,55.933057027,82.8302200481,19.6686952287,0,62.0795107034,41.9202556652,44.1685324393,69.1031622602,20.0176836609,55,#DIV/0!,100,100,17.3758037832,31.4409946186,47.3086648465,30.2123552124,48.3707976698,42.7559126754,53.1653148138,30.4469611088,90.6032482599,0.0018934236,15.4644143243,23.1404958678,0,38.9834987538,19.2370290489,36.3730357188,100,2.2736547778,59.4257801853,89.0976875,99.4997389947,12.745389649,84.3811523822,54.0520579236,7.6734428245,95.9506637038,0,694.6093137749,100,2.2842295857,100,99.5161443953,22.1190580959,10.9092421706,100,100,22.1984214198,100,3.3286790019
Coahuila,13.107112423,65.4102345219,46.3418383031,58.904109589,63.3879781421,52.2821576763,97.9838709677,46.6666666667,10.253164557,36.5792024516,80.2090306614,23.4626664338,0,86.9565217391,13.2043976394,52.5127836095,0.1451323332,72.5710809828,12.9328399888,64.5367667052,63.785837922,100,66.359561753,95.1201091146,80.3236679446,42.2299478912,77.0314759971,40.7687132352,27.9614042291,80,95.6284153005,57.7946768061,38.9240506329,11.3045866245,92.2094361335,27.3036232138,88.2323269204,97.2288820803,83.7262420709,92.0091008158,23.4720603893,100,38.8379204893,0,72.8664968214,0,20.644882103,72.5,#DIV/0!,11.8146466275,24.3693519451,47.9922881767,22.2404354577,46.4520990594,25.3861003861,39.826088541,43.5588593663,24.4002859643,33.5039044501,97.0417633411,0.015210191,9.2990153841,18.1818181818,22.3988573541,21.6947830224,34.8974380541,56.5244044391,14.9821598379,11.1466208855,62.0387248054,90.3074925,99.637691957,0,65.6254101588,70.4047647138,0,39.1249017655,52.6880821863,480.5499608159,99.891184024,6.5588068045,11.2265233357,30.4269916789,9.9521295753,11.2406751262,22.3358828197,14.0848714624,19.5954885538,10.5678492862,10.7077715386
Colima,0.1570516777,35.9746864964,73.4040372989,100,70.4918032787,62.2406639004,63.7096774194,76.4705882353,8.2278481013,58.1140162731,68.9479689939,6.5479769044,61.7637167241,97.8260869565,68.0610728308,1.4575476351,0.5934809968,46.8163222322,4.7181885879,50.223053819,67.1139649801,96.9387755102,72.7233921457,22.8071635662,76.3479099033,38.9944185796,49.7986563336,48.9788621061,27.509751591,75,80.3278688525,38.4030418251,51.582278481,31.8560229026,72.5316455696,6.8541858087,84.2505825875,99.2508994935,45.7532796988,85.2534445708,55.4036683627,0,90.5504587156,72.3261495024,63.7200205827,73.0948678072,32.464222042,55,#DIV/0!,1.1311735873,0,26.1643927895,23.8093817987,72.9038518089,26.0617760618,28.6782823191,36.4765979019,25.8705424553,33.5488156165,95.5916473318,0.0012399073,14.9718660926,8.2644628099,8.5843160377,64.2170144966,82.875821034,43.5598283124,0.4763808835,100,15.5967408132,88.61235875,99.6874276302,36.3622843546,71.8729492059,88.4581545665,1.1702206664,128.6391459572,0,171.353117653,99.871236403,1.8515877065,0.5082389697,0.9574779303,2.2506537678,21.1932427683,0,0,35.9560932661,0.9842884458,16.9335538945
Distrito Federal,100,100,4.4113126345,0,43.1693989071,43.5684647303,46.7741935484,49.8039215686,85.7594936709,12.0326710725,51.3822899315,100,47.0219304361,95.652173913,0.7062230164,18.8780772799,100,42.3067072416,41.9633714977,100,100,95.2380952381,97.0546385885,37.8851526514,82.0753607669,100,76.3373861131,66.3759354641,41.4699240402,66.2337662338,100,64.63878327,0,5.6274831333,99.9884925201,17.9793480516,77.4621533741,82.9807818017,29.7051877525,0,38.0407605494,0,99.0825688073,100,79.7677880905,92.0165889062,100,100,#DIV/0!,4.1957677967,9.686752021,56.1937922143,13.5912091306,100,33.8803088803,100,100,100,100,97.8538283063,18.613308076,28.3308602984,100,58.0754635157,33.9593822017,15.5953378981,100,66.1118145048,42.5578581153,100,94.91459875,99.2742948116,46.5496728138,81.2442577766,0,7.6734428245,26.1600037947,75.1698771985,3620.0871375475,99.7716000526,22.2735327574,7.4805657587,31.8957588863,100,87.6116952538,2.9372371559,13.8892720977,100,15.3144874577,100
Durango,3.9014096444,35.8906197825,59.1863920484,71.2328767123,42.6229508197,51.4522821577,62.0967741935,27.8431372549,14.3037974684,33.9340185195,42.674828394,0.3391242426,0,95.652173913,3.7265249956,49.5378800628,0.221471239,65.6613613014,26.6627106023,65.6811430291,36.9754183822,78.231292517,49.8150256118,74.6323684509,48.2096000551,35.8756713568,84.6765357153,27.8341061994,51.9195237118,69.2307692308,87.9781420765,25.855513308,19.3037974684,16.452566074,76.5362485616,14.7001214715,72.0629730838,91.7870053322,74.2013153382,67.9237176813,8.5341907525,0,57.1865443425,93.1841579826,69.4545082311,36.8584758942,8.8259674788,45,#DIV/0!,4.4454819753,6.5081429669,10.5354273288,25.7365609666,52.5711462042,6.4671814672,31.5213129831,26.4268625393,20.1021963552,19.0019652184,99.8259860789,0.6364090181,9.4726910293,7.4380165289,26.9000095901,20.743044684,100,22.8422989827,8.3423452834,2.2805936758,43.7433196828,87.88084875,99.1740973969,0,100,89.1054055019,0,85.8903028755,0,1919.5045001513,99.8241700732,0.0581681104,2.984387372,7.8008434411,10.1145185543,20.9840401782,8.7610887759,6.8746932045,5.7856399739,2.08018157,4.2309749715
Guanajuato,15.1200006457,1.767421458,71.4161287017,72.602739726,42.6229508197,59.3360995851,74.5967741935,37.6470588235,46.9620253165,40.566445714,89.1869845476,9.4748684605,61.7637167241,93.4782608696,0,0,0.2503513328,70.013163265,32.8178814112,64.7844887591,28.5156009342,80.9523809524,62.7241035857,50.7179925278,58.4506637708,8.3399676284,31.052144322,34.4076640652,26.2574420037,64.2857142857,55.737704918,20.9125475285,32.2784810127,4.5423756883,85.0402761795,100,86.2486457306,98.6989040888,74.5981975149,94.8729116154,34.195227665,0,83.4862385321,14.35171686,57.2538800802,44.0124416796,25.1208614145,22.5,#DIV/0!,5.6827943044,6.7648080846,7.5956482269,5.4176644347,45.7120541897,14.9613899614,10.6228495966,40.3323213944,31.7704640145,21.6245843909,97.8538283063,0.0003761469,4.550184602,19.0082644628,3.1687791719,9.6057336171,29.8701435292,23.6109674347,7.9780890339,9.188138859,69.9319206203,99.27552375,99.7752818851,46.6537775134,53.1303320646,85.4160119113,7.6734428245,96.5057454999,0,1134.6202059684,99.7640737711,1.1375050045,6.0888368014,8.6687354213,7.5200246339,21.5596119757,9.5448041689,8.5781011573,11.4215093854,3.4910290178,12.0662196936
Guerrero,4.03287179,16.6953192497,69.9098268265,35.6164383562,1.0928961749,31.5352697095,26.2096774194,21.9607843137,48.9873417722,20.1779147302,1.3353885322,1.429580747,100,100,0.1469025653,0.5042060978,7.3498693304,22.7515286481,18.7470911291,36.1567751027,0,0,0,18.3445617401,41.884542709,12.4493898818,60.4852342758,30.695886713,18.8051734757,70.5882352941,7.1038251366,0,53.164556962,3.1052364503,38.8262370541,0.6536460324,78.3600769717,92.2191052519,33.3015170538,76.5151500799,16.6012694762,0,68.1572457335,45.2606495043,26.0877452178,38.6210471747,13.6323197827,17.5,#DIV/0!,1.3968156672,14.7991743196,13.5376946851,6.9571618878,11.6788283513,7.9150579151,5.4725721844,24.0983373838,26.3180876242,11.4522360674,98.6078886311,0.0024386165,11.6254132478,26.4462809917,55.8414656845,6.8304728446,61.5397070095,7.5300596381,5.6069073292,8.8449809802,37.3450815391,86.66401,99.3494428726,0,93.7524609529,96.755585687,0,91.7736990983,29.016237155,2383.2997648957,99.7039987704,0,25.3837638691,0,4.2113830112,22.6145545364,3.2443475221,11.5615625377,0,2.5783315809,0
Hidalgo,4.0179415934,16.7298998488,84.0096321344,79.4520547945,8.1967213115,43.9834024896,39.9193548387,33.7254901961,24.5569620253,66.600229125,100,6.0354946318,47.0219304361,85.8695652174,6.5495638651,48.4657579783,1.3373414532,45.6097600045,0.260634832,16.4317622784,36.427163914,55.4421768707,40.4560330108,19.1616127718,50.86751142,16.7441553539,70.9763326217,46.161655929,6.9184972285,30,40.9836065574,60.8365019011,40.1898734177,9.7442047793,59.2405063291,4.2495141919,82.7530748097,95.7317169549,32.8907408041,87.6766690935,85.614805554,0,100,20.8793299716,36.838166452,39.3468118196,11.5534235003,30,#DIV/0!,7.4322897864,17.115112126,21.003934432,4.6530114464,40.0184715512,10.1351351351,13.8384791189,2.8644576483,29.2147299328,13.0232708569,100,0.7678812027,0,0,12.0380750743,40.6336703236,42.0564359542,4.1851701957,8.4034901157,13.4901227465,35.7371473439,87.88084875,99.6500351167,61.7638310529,65.6254101588,90.7424056725,0,84.9270301729,0,623.2561961219,99.6580865935,8.7555139956,4.9357093054,5.8630553941,3.5448072639,15.2051536696,9.6041412564,7.8291411711,5.5003971075,2.8560944138,6.4137191587
Jalisco,25.8063134053,31.8507948236,37.3706322369,52.0547945205,48.6338797814,37.7593360996,24.5967741935,78.431372549,26.582278481,0,71.6686256775,4.5170534266,61.7637167241,94.5652173913,5.016686637,13.6152973713,1.251452015,32.6216495964,25.3525551522,78.552913737,50.0920572317,77.5510204082,71.1368810472,43.4876907756,80.3133561415,23.3216054024,47.5458918865,45.8296927031,13.7138164648,61.5384615385,83.0601092896,18.2509505703,74.3670886076,12.7848370732,100,9.2624515629,78.0375086029,92.8053838993,33.8661917808,67.9237176813,19.1242021294,0,89.9082568807,58.1161541634,15.904045748,69.155002592,24.5239889573,52.5,#DIV/0!,4.0341540999,7.4576359063,12.0330022001,23.9578562757,87.6127401752,26.6409266409,36.9751946431,14.8350456954,44.2840496088,22.8135533266,93.6194895592,0,18.1605144,67.7685950413,3.311002979,0,8.9050480965,42.2973281151,15.2134006201,7.156301666,64.8397255425,92.49498875,99.1995097847,58.4473527662,90.6286914293,84.2316976778,0,86.9352061306,0,1515.1701667843,99.6820240818,24.3690047584,12.7409614422,23.0355705465,8.4485180283,22.5472199921,7.3630637445,9.6953314,33.0575827552,4.4166913794,10.5161075124
México,30.2958983537,34.5079691508,22.9582949073,39.7260273973,66.6666666667,65.9751037344,72.1774193548,52.5490196078,63.2911392405,13.0301204974,34.3087390345,24.3784220963,47.0219304361,77.1739130435,10.3420595092,8.3370564177,1.4826013757,0,52.4190170343,56.8415197165,71.1865434214,74.8299319728,71.4001138304,49.7615890992,56.3654134052,0,73.9452062804,29.2817691509,44.7136111681,66.2337662338,82.5136612022,49.0494296578,37.3417721519,100,70.1035673188,6.7377718081,0,71.0604697131,29.0060250261,7.6368287988,20.6899344458,0,44.3425076453,80.5837436391,51.4200307252,48.7817522032,21.2914000333,65,#DIV/0!,5.4474217252,7.9817191318,3.9022453377,8.0612441831,52.6817934035,2.9922779923,41.7250205293,50.6250907305,27.9358480549,16.1312813689,86.5429234339,0.1959096974,3.1034859685,3.305785124,15.6391475591,4.9243194285,14.4585023173,3.0866743406,11.5511763439,25.1958984462,73.7319550414,85.454205,99.3999046141,61.005353956,65.6254101588,63.922573395,0,82.7907304146,100,2894.6637747421,99.6703796637,0.2014530477,4.4483547572,12.2099562576,12.4316387076,0,8.438067427,9.7265492986,17.6024939087,11.3555135244,7.4131632576
Michoacán,7.6769882441,15.6164804977,70.3965570243,65.7534246575,1.6393442623,56.4315352697,70.1612903226,5.8823529412,30.6329113924,20.9427330236,37.624064686,4.5784679934,61.7637167241,85.8695652174,2.3016708082,7.118975651,0.8194992577,47.8020139341,7.1383691706,11.8283753609,27.5380581167,68.0272108844,49.3810472396,12.3771513817,43.9305396277,12.7578583457,51.227374097,52.1257027692,25.2514884007,42.8571428571,44.8087431694,21.2927756654,63.9240506329,16.8451647709,74.9942462601,11.0660138663,92.5691796175,99.4940516132,45.6985681499,98.9850501993,44.9718377363,0,51.0703363914,75.7329956616,60.4469442433,49.5593571799,26.6377029441,20,#DIV/0!,3.711870342,6.920566499,2.1771179863,9.1449551153,63.2887097192,11.7760617761,13.2127137969,16.1455610403,41.2384985834,14.0488436143,97.6798143852,0.0487900301,5.1411902952,21.4876033058,20.6987543782,1.8086190816,46.0172888533,20.4898308588,9.0236912695,19.182845552,26.9785442515,98.55808125,99.5875932496,65.3480071386,62.5016406353,84.6944409157,36.9517501752,99.6209687567,0,1158.4045785194,99.6561117631,0.6275564455,7.3080222344,2.8930636989,3.6769901248,17.1602727733,4.3225806651,10.5221824114,7.2906805817,0.8053169761,12.5421486357
Morelos,3.3996975765,40.77424426,51.859821703,35.6164383562,67.7595628415,55.1867219917,0,51.3725490196,93.9240506329,5.8316913501,52.3720774804,46.683414847,47.0219304361,97.8260869565,22.7043514045,43.2165723183,2.0105584615,79.1793430425,11.7751093735,17.5894422551,55.3854746084,68.0272108844,79.6528173022,11.6905794094,40.1193973504,16.1189367249,39.9274632734,58.4713266328,24.7382467666,75,68.8524590164,77.9467680608,65.1898734177,48.1627615802,82.0483314154,4.5449338207,93.0755500249,96.8570400247,51.0693345251,89.6593073393,66.0161043106,0,79.8165137615,9.409746631,15.3329452661,39.243131156,46.7783572238,55,#DIV/0!,4.9119919953,6.1768541999,4.5647716548,4.3547913935,49.9671778427,20.5598455598,14.9235364341,32.6985491048,33.4137360866,25.6157449176,88.8051044084,29.0540126722,7.1483491656,8.2644628099,43.1092030184,2.3177293772,41.4799086995,24.3319651483,14.3381490392,57.5122649223,51.5896778093,91.76347875,99.3744922263,74.5984533016,74.9967187295,95.5672553308,0,42.7686160708,31.1476111696,1265.4342549988,99.5726207643,6.35832870058439E-005,12.0627060663,4.3467528012,11.2042578072,25.5008724104,8.4178827109,8.8757746668,25.7492832175,2.8392453465,73.4157877619
Nayarit,0,33.8774021517,82.2317860437,76.7123287671,69.3989071038,45.643153527,67.7419354839,22.3529411765,30.6962025316,21.9738162697,19.4043790688,2.7764604813,61.7637167241,98.9130434783,100,4.2565475128,5.8827127405,40.0772532353,12.1835148469,44.9377867467,49.5028050781,75.1700680272,62.5426863973,20.7390304801,58.5638720352,37.9545300922,53.0415820192,50.0753340823,36.3785670294,42.8571428571,69.9453551913,67.680608365,44.9367088608,5.1684691861,73.6593785961,3.6098085176,98.2110159571,98.547886831,0,97.3695671842,63.8985408487,0,79.8165137615,33.9576958441,21.7076111599,43.4421980301,24.7987090328,45,#DIV/0!,7.4738612667,14.14856775,13.3586124663,16.3566944382,45.0144014731,8.3976833977,35.0224447814,21.0162762433,37.1450499078,19.9124148442,98.5498839907,0,9.5540788061,2.479338843,21.6576137085,72.9439260001,70.1473000989,15.8375330872,7.9733714127,10.0979829158,51.5871525363,86.17868125,99.2870010055,9.4437834622,93.7524609529,100,0,81.5166044729,25.1835947461,813.5311765299,99.7360406453,0,24.6123637142,0.5332341327,6.9292665993,27.9190247164,3.7987482641,10.3040570973,4.532333054,0.5403322899,2.325696303
Nuevo León,31.4709612425,79.8797286236,64.9144379547,65.7534246575,59.0163934426,57.2614107884,62.0967741935,100,44.9367088608,30.965080514,99.3827708474,2.2315940755,0,72.8260869565,3.3420153076,97.1961779097,0.2808007639,61.2319719692,100,93.8484012641,81.0485629175,91.4965986395,83.8823278315,81.2549295207,97.5408880961,26.8273567615,93.6121238286,48.4401575718,24.3276534592,92.3076923077,98.3606557377,100,25.6329113924,14.4142632375,98.5155350978,22.0242072667,66.9496523903,89.99637541,65.7932596675,36.6420920248,28.9905496034,0,79.2048929664,45.3883271583,54.4512741524,100,21.1817852933,82.5,#DIV/0!,5.2411000187,12.1024745655,60.3108503385,34.3683604748,85.3722934805,41.1196911197,64.6689400858,64.4922857322,62.1329683107,35.1400055851,0,0.0001560427,17.1480985303,39.6694214876,55.3524500122,16.721497218,0,70.3903076315,20.3359478474,13.1465819354,69.5394727644,93.69776,99.5374945423,75.2676977989,71.8729492059,50.1518234682,0,93.3625592419,0,1384.3561177538,99.8955252503,2.1799847866,4.4694359777,27.780412778,36.8279660323,12.1773905643,8.0121791067,10.5866279603,46.4315493951,24.1967533698,11.254122271
Oaxaca,4.1623798141,2.9855448407,80.3053591557,67.1232876712,59.5628415301,56.0165975104,26.6129032258,47.4509803922,73.4810126582,14.1206504604,14.52717112,0.754168271,100,81.5217391304,17.2898179406,5.2077409282,2.9505559295,33.9918089689,6.4041701573,0,12.4058573841,8.1632653061,13.2221115538,0,43.8319923211,6.31095841,0,64.4063018812,6.4052555943,31.5789473684,7.1038251366,42.2053231939,43.0379746835,11.2398900476,0,20.6292297928,93.1242300552,98.367025892,30.505665745,96.2681014921,68.8676467786,0,43.119266055,41.7144178156,40.309134919,17.6257128046,15.878444374,5,#DIV/0!,1.3306510403,9.1149534546,0,6.4018567641,0,3.1853281853,5.7776032593,2.2663573525,32.6631505594,0,99.2459396752,0.0651586233,6.7700396406,19.0082644628,0.514215686,24.6915198062,65.0331915993,0,3.0332278903,15.0707605284,49.4607729348,100,100,50.8030933968,43.7458984119,98.2803070984,7.6734428245,180.2519402868,15.5220453247,1051.3749020399,99.6794867893,1.985695456,11.3378321857,0.6528020799,3.4764514614,20.0216392383,4.9755655102,9.9175846662,2.3782226792,0,1.7143278099
